text
"Worker fell from scaffolding while welding, resulting in burns. Jordan Murray from the Facilities department was involved. Burn from hot welding equipment On 22 November 2024 at 05:05, an incident occurred at Fleet Garage. The incident was reported by Spencer Lee."
"The incident was reported by Morgan Bennett. Worker fell from scaffolding while welding, resulting in burns. On 28 November 2024 at 11:08, an incident occurred at Reception Area. Puncture wound from misplaced tool Avery Johnson from the Quality Assurance department was involved."
"On 19 May 2025 at 00:42, an incident occurred at IT Server Room. Foreign object in eye from grinding debris The incident was reported by Morgan Lewis. Exposure to toxic fumes led to a fractured leg. Drew Foster from the IT department was involved."
"Blake Parker from the Health & Safety department was involved. Puncture wound from misplaced tool The incident was reported by Cameron Lee. Exposure to asbestos led to a fractured leg. On 17 April 2025 at 15:48, an incident occurred at IT Server Room."
"Cameron Payne from the IT department was involved. Worker fell from scaffolding while welding, resulting in a fractured leg. Dislocated shoulder during equipment maintenance The incident was reported by Quinn Clark. On 14 January 2025 at 01:50, an incident occurred at Dockyard North."
"Riley Davis from the Quality Assurance department was involved. Heat exhaustion from prolonged outdoor work Worker fell from ladder while welding, resulting in burns. On 19 November 2024 at 10:47, an incident occurred at Engineering Workshop. The incident was reported by Reese Graham."
"Worker fell from scaffolding while repairing the hull, resulting in burns. Sawyer Walker from the Research & Development department was involved. On 30 June 2024 at 07:02, an incident occurred at Dockyard South. Chemical burn from solvent exposure The incident was reported by Charlie Mitchell."
"Worker fell from ladder while welding, resulting in concussion. On 09 May 2025 at 00:26, an incident occurred at Engineering Workshop. The incident was reported by Cameron Payne. Chris Robinson from the Finance department was involved. Fractured ankle due to fall from scaffolding"
"On 07 April 2024 at 04:02, an incident occurred at Reception Area. The incident was reported by Jordan Bailey. Exposure to toxic fumes led to concussion. Alex Smith from the IT department was involved. Heat exhaustion from prolonged outdoor work"
"On 01 September 2025 at 11:06, an incident occurred at Shipyard Pier. Jamie Clark from the Communications department was involved. crane malfunction caused a steel beam to drop, injuring two workers. Electric shock from faulty wiring The incident was reported by Chris Payne."
"Puncture wound from misplaced tool The incident was reported by Blake West. grinder malfunction caused a steel beam to drop, injuring a contractor. Harper Payne from the Facilities department was involved. On 04 July 2024 at 14:24, an incident occurred at Warehouse A."
"Worker fell from ladder while welding, resulting in a fractured leg. Emerson Ward from the Legal department was involved. On 09 August 2024 at 19:54, an incident occurred at Training Room. The incident was reported by Chris Brown. Heat exhaustion from prolonged outdoor work"
"The incident was reported by Casey Bailey. Worker fell from scaffolding while welding, resulting in a fractured leg. Crush injury to hand from hydraulic press On 09 September 2025 at 16:18, an incident occurred at Warehouse B. Logan Morgan from the Fleet Management department was involved."
"crane malfunction caused electrical fire, injuring the operator. Kai Reed from the Procurement department was involved. The incident was reported by Rowan Pearson. Compressed air injury during maintenance On 03 January 2025 at 13:12, an incident occurred at Main Gate Security."
"Dislocated shoulder during equipment maintenance Worker fell from ship deck while repairing the hull, resulting in concussion. Emerson Hughes from the Training & Development department was involved. On 05 August 2025 at 08:53, an incident occurred at Dry Dock 1. The incident was reported by Blake Foster."
"Heat exhaustion from prolonged outdoor work Skyler Morgan from the Communications department was involved. On 20 March 2025 at 02:37, an incident occurred at Electrical Bay. The incident was reported by Avery Murray. Exposure to asbestos led to concussion."
"Worker fell from ladder while welding, resulting in a fractured leg. The incident was reported by Jamie Morgan. Rowan West from the Engineering department was involved. On 14 August 2024 at 09:03, an incident occurred at Warehouse B. Fractured ankle due to fall from scaffolding"
"grinder malfunction caused a fuel leak, injuring two workers. The incident was reported by Morgan Graham. Fractured wrist from fall on wet surface On 18 July 2025 at 12:08, an incident occurred at Fuel Depot. Riley Ward from the Logistics department was involved."
"Worker fell from scaffolding while welding, resulting in burns. Jordan Reed from the Training & Development department was involved. Trip hazard fall resulting in bruising The incident was reported by Taylor Hughes. On 16 September 2024 at 15:33, an incident occurred at Fuel Depot."
"Puncture wound from misplaced tool On 29 July 2025 at 01:25, an incident occurred at Warehouse A. Riley Fisher from the Quality Assurance department was involved. The incident was reported by Dakota Foster. grinder malfunction caused a fuel leak, injuring two workers."
"The incident was reported by Alex Brown. On 19 September 2024 at 19:42, an incident occurred at Warehouse A. Riley Ward from the IT department was involved. Back strain from improper lifting Exposure to asbestos led to burns."
"Finley Parker from the Training & Development department was involved. Fractured ankle due to fall from scaffolding The incident was reported by Taylor West. On 08 August 2024 at 23:01, an incident occurred at Cafeteria. Worker fell from ladder while welding, resulting in a fractured leg."
"The incident was reported by Jesse Holmes. Severe abrasion from slip on deck grinder malfunction caused a fuel leak, injuring a contractor. Elliot Robinson from the Warehouse department was involved. On 26 July 2025 at 20:25, an incident occurred at Dry Dock 2."
"The incident was reported by Kai Smith. On 26 June 2025 at 05:44, an incident occurred at IT Server Room. Worker fell from ship deck while repairing the hull, resulting in concussion. Sydney Sullivan from the Finance department was involved. Burn from hot welding equipment"
"grinder malfunction caused a fuel leak, injuring a contractor. On 23 February 2024 at 03:56, an incident occurred at Shipyard Pier. The incident was reported by Avery Clark. Taylor Bennett from the Communications department was involved. Electric shock from faulty wiring"
"Eye irritation from chemical fumes The incident was reported by Alex Cooper. On 01 June 2025 at 20:05, an incident occurred at Fuel Depot. Worker fell from scaffolding while painting, resulting in a fractured leg. Rowan Payne from the Security department was involved."
"On 27 December 2024 at 20:10, an incident occurred at Main Gate Security. The incident was reported by Alex Payne. Elliot Bennett from the IT department was involved. Exposure to high-voltage wiring led to concussion. Foreign object in eye from grinding debris"
"crane malfunction caused a fuel leak, injuring a contractor. Smoke inhalation from fire in electrical bay Casey Payne from the Warehouse department was involved. The incident was reported by Rowan Payne. On 21 February 2024 at 02:50, an incident occurred at Electrical Bay."
"Severe abrasion from slip on deck On 01 July 2024 at 05:06, an incident occurred at Electrical Bay. Worker fell from ladder while painting, resulting in a fractured leg. Rowan Fisher from the Training & Development department was involved. The incident was reported by Sydney Murray."
